InputID,TargetID,Distance,fipscounty,msa,msaname,cbsaname
47460,310M300US35380,32.6847879523,,,,
15420,310M300US35380,26.7652088463,,,,
24500,310M300US35380,27.5830040626,30013,3040,"GREAT FALLS, MT","Great Falls, MT"
16060,310M300US35380,7.89347939474,,,,
17380,310M300US35380,4.00104539915,,,,
29180,310M300US35380,2.11599748738,22099,3880,"LAFAYETTE, LA","Lafayette, LA"
30300,310M300US35380,31.5683014375,53003,50,WASHINGTON,"Lewiston, ID-WA"
40080,310M300US35380,9.52651725818,,,,
22500,310M300US35380,10.9933043955,45041,2655,"FLORENCE, SC","Florence, SC"
27940,310M300US35380,52.6408093743,,,,
38840,310M300US35380,13.4935085703,,,,
36140,310M300US35380,17.7453120046,34009,560,"ATLANTIC-CAPE MAY, NJ","Ocean City, NJ"
27300,310M300US35380,9.79484060436,,,,
44100,310M300US35380,9.92779127909,17167,7880,"SPRINGFIELD, IL","Springfield, IL"
49100,310M300US35380,14.2006388508,,,,
10740,310M300US35380,17.3283222176,35061,200,"ALBUQUERQUE, NM","Albuquerque, NM"
23580,310M300US35380,7.55129815866,13139,11,GEORGIA,"Gainesville, GA"
13420,310M300US35380,18.7452452712,,,,
21220,310M300US35380,27.8570560552,,,,
43340,310M300US35380,4.53073239324,22031,19,LOUISIANA,"Shreveport-Bossier City, LA"
15380,310M300US35380,17.1713206667,36063,1280,"BUFFALO-NIAGARA FALLS, NY","Buffalo-Niagara Falls, NY"
21340,310M300US35380,15.6760498014,48141,2320,"EL PASO, TX","El Paso, TX"
44340,310M300US35380,8.57485186158,,,,
41100,310M300US35380,24.684615108,49053,46,UTAH,"St. George, UT"
19220,310M300US35380,9.22506955139,,,,
31540,310M300US35380,13.1800119338,55049,52,WISCONSIN,"Madison, WI"
11060,310M300US35380,10.5626060267,,,,
46180,310M300US35380,4.53911287686,,,,
42820,310M300US35380,3.73299228332,,,,
14660,310M300US35380,17.4318674861,,,,
48980,310M300US35380,13.3551502773,,,,
34860,310M300US35380,4.97189727174,,,,
14140,310M300US35380,11.3020357809,,,,
20700,310M300US35380,18.3794757046,,,,
41760,310M300US35380,32.3851855541,,,,
37540,310M300US35380,6.63455940286,,,,
46460,310M300US35380,6.55847226401,,,,
10760,310M300US35380,5.09655335608,,,,
27380,310M300US35380,5.56419102188,,,,
14860,310M300US35380,20.083533005,9001,5483,NEW HAVEN-BRIDGEPORT-STAMFORD-WATERBURY-DANBU,"Bridgeport-Stamford-Norwalk, CT"
47700,310M300US35380,12.0536286405,,,,
11900,310M300US35380,12.3028981058,,,,
13720,310M300US35380,10.3156308229,,,,
17260,310M300US35380,4.37385779572,,,,
43700,310M300US35380,8.98164110781,,,,
19140,310M300US35380,7.06678648958,13313,11,GEORGIA,"Dalton, GA"
23700,310M300US35380,19.1740213261,,,,
40980,310M300US35380,14.6672760366,26145,6960,"SAGINAW-BAY CITY-MIDLAND, MI","Saginaw-Saginaw Township North, MI"
21580,310M300US35380,18.0010631253,,,,
39140,310M300US35380,23.0883654808,4025,3,ARIZONA,"Prescott, AZ"
32340,310M300US35380,11.5624998068,,,,
13020,310M300US35380,15.0332812318,26017,6960,"SAGINAW-BAY CITY-MIDLAND, MI","Bay City, MI"
20020,310M300US35380,4.6849746748,1069,2180,"DOTHAN, AL","Dothan, AL"
14220,310M300US35380,0.953088495987,,,,
22780,310M300US35380,8.23597861873,,,,
28860,310M300US35380,10.7107389221,,,,
19420,310M300US35380,7.60114766239,,,,
13060,310M300US35380,6.15971210938,,,,
31020,310M300US35380,36.5619729136,53015,50,WASHINGTON,"Longview, WA"
26260,310M300US35380,5.20282333383,,,,
21060,310M300US35380,8.78332918291,21123,18,KENTUCKY,"Elizabethtown, KY"
